Clone	Chrom	kb	kbGenome	MCF7	SKBR3
RP11-39C2	6	46974.807	1108829.637	-0.013524	-0.072459
RP11-3M23	6	47357.573	1109212.403	0.026164	-0.130604
RP11-40P17	6	51035.317	1112890.147	-0.05029	-0.385477
RP11-7H16	6	53413.083	1115267.913	-0.059246	NA
RP11-284E1	6	53762.653	1115617.483	0.091398	-0.309581
RP11-146B10	6	55302.472	1117157.302	-0.005836	-0.296111
RP11-111P16	6	55483.053	1117337.883	-0.053405	-0.21948
RP3-445N2	6	56241.68	1118096.51	-0.043811	-0.246178
RP11-164C22	6	62318.341	1124173.171	NA	-0.535169
RP11-277K21	6	64091.064	1125945.894	0.116906	-0.190788
RP11-2M9	6	71712.187	1133567.017	-0.055381	-0.274351
RP11-121K16	6	72184.337	1134039.167	0.05647	-0.31875
RP11-28P18	6	75041.974	1136896.804	-0.057366	-0.300532
RP11-217L13	6	79286.975	1141141.805	0.050927	-0.275689
RP11-32O2	6	85580.118	1147434.948	-0.085474	-0.429788
RP11-13I21	6	91180.222	1153035.052	0.010054	-0.306636
RP11-113K7	6	91938.298	1153793.128	-0.081588	-0.389098
RP11-14G17	6	99673.162	1161527.992	NA	-0.350061
CTD-2126K7	6	100000.832	1161855.662	0.331604	0.032998
RP11-484P14	6	100035.884	1161890.714	-0.12134	-0.403705
CTD-2026K7	6	100036.462	1161891.292	-0.08643	-0.41329
RP11-73D20	6	102469.035	1164323.865	-0.170144	-0.404669
RP11-47E20	6	105560.195	1167415.025	0.184435	-0.122603
RP11-165E15	6	108282.37	1170137.2	0.095388	-0.210638
RP11-78P9	6	108554.968	1170409.798	0.072711	-0.220434
RP11-93P6	6	111782.967	1173637.797	-0.036035	-0.109801
CTD-2045C13	6	111956.726	1173811.556	-0.699843	0.000266
RP11-75C8	6	112006.088	1173860.918	-0.000854	-0.179908
RP11-59F18	6	112942.411	1174797.241	0.045212	0.018175
RP11-51N24	6	113605.714	1175460.544	0.133568	-0.348442
RP11-24F12	6	115326.509	1177181.339	-0.127073	-0.224093
RP11-28K19	6	119429.396	1181284.226	0.053332	-0.332081
RP11-59D10	6	120788.932	1182643.762	-0.099142	-0.010081
RP11-231F3	6	124947.535	1186802.365	-0.154265	-0.170709
RP11-12C21	6	125373.033	1187227.863	0.0197	0.094596
RP11-107M3	6	128716.965	1190571.795	-0.033572	-0.030323
RP11-139O22	6	131600.715	1193455.545	0.09535	-0.027957
RP11-177M14	6	133412.339	1195267.169	-0.093714	-0.081144
CTC-268N4	6	135483.109	1197337.939	0.135527	0.044916
RP11-32P13	6	136295.783	1198150.613	0.133245	-0.024811
CTD-2015J17	6	137396.381	1199251.211	0.041877	0.074281
RP11-15H7	6	139914.991	1201769.821	NA	-0.050042
GS-59B4	6	152159.676	1214014.506	NA	-0.427152
RP11-20H19	6	155211.473	1217066.303	0.135949	0.046327
CTD-2043F20	6	160237.992	1222092.822	NA	0.1043
RP11-43B19	6	160895.056	1222749.886	-0.844765	0.07857
RP1-57H24	6	170694.837	1232549.667	-0.051243	0.053254
CTD-2051E21	6	170737.911	1232592.741	0.15324	-0.034641
RP1-164D18	7	188.213	1232957.619	0.25248	0.998023
RP11-23D23	7	807.055	1233576.461	0.262497	0.92602
CTC-329F6	7	2140.969	1234910.375	0.295912	0.8234
RP11-96L18	7	2603.698	1235373.104	0.0854	0.32112
RP11-234N20	7	2842.249	1235611.655	0.306256	0.738738
RP11-191P7	7	2948.122	1235717.528	0.257733	0.777193
CTB-146A2	7	4359.655	1237129.061	0.213531	0.688677
RP11-2K20	7	5864.896	1238634.302	0.401169	0.879775
RP11-425P5	7	6158.703	1238928.109	0.282078	0.536502
GS1-54J22	7	6992.906	1239762.312	0.2339	0.735516
GS1-183H7	7	8628.246	1241397.652	-0.077036	0.501169
GS1-124N22	7	9746.322	1242515.728	-0.109369	0.52767
RP11-128J9	7	9819.59	1242588.996	-0.19427	-0.036565
RP11-321B9	7	10936.527	1243705.933	-0.332841	0.633336
GS1-165K6	7	16990.228	1249759.634	0.214714	0.655242
RP11-123E5	7	17301.435	1250070.841	0.10025	-0.002424
RP11-173P9	7	17341.382	1250110.788	0.035541	0.513261
RP11-70K3	7	18118.289	1250887.695	0.01796	0.55573
RP11-51L23	7	18475.082	1251244.488	-0.087021	0.595268
CTB-168O22	7	18557.241	1251326.647	-0.137137	NA
RP11-71F18	7	19184.032	1251953.438	0.011632	0.539951
RP11-49N21	7	19726.976	1252496.382	0.1389	NA
CTB-1D14	7	20588.814	1253358.22	-0.123301	0.555564
CTB-23M10	7	21193.267	1253962.673	0.313658	0.476
RP11-243C6	7	22456.007	1255225.413	0.276931	0.625306
RP11-160L16	7	22542.551	1255311.957	0.167813	0.642286
CTB-148D3	7	24467.82	1257237.226	-0.028124	0.562313
RP11-66O14	7	25979.339	1258748.745	0.207332	1.040272
GS1-213H12	7	26217.808	1258987.214	0.194955	0.713472
CTB-23D20	7	27650.644	1260420.05	0.056113	0.790758
RP11-17H7	7	27914.158	1260683.564	0.151126	0.772001
RP11-34N11	7	29279.996	1262049.402	0.183601	NA
CTB-111H21	7	29729.975	1262499.381	0.054042	0.720341
GS1-124K10	7	31484.965	1264254.371	0.426885	0.772888
RP11-93J6	7	31815.297	1264584.703	0.330744	0.670486
GS1-174H8	7	32989.098	1265758.504	-0.361212	0.892213
RP11-128O3	7	33387.1	1266156.506	0.41636	NA
GS1-24B21	7	34606.601	1267376.007	0.352708	0.636773
RP11-115G23	7	34955.397	1267724.803	0.120494	0.674081
RP11-178P2	7	34995.88	1267765.286	-0.045257	0.595255
RP11-138E20	7	36331.103	1269100.509	-0.206075	0.7511185
RP11-87M15	7	36504.67	1269274.076	-0.138914	0.36304
CTB-88A9	7	36806.694	1269576.1	0.228307	0.74021
RP11-75O22	7	36960.642	1269730.048	-0.151913	0.683987
RP11-115G1	7	38493.581	1271262.987	0.034231	0.627128
RP11-64I2	7	39270.353	1272039.759	-0.112822	0.70522
GS1-85G10	7	39895.239	1272664.645	-0.204727	0.738939
RP11-3L22	7	40592.707	1273362.113	-0.115717	0.625958
CTC-520A9	7	40814.703	1273584.109	-0.148275	0.713728
RP11-15M23	7	40864.238	1273633.644	-0.034372	0.803054
RP11-70D20	7	41165.664	1273935.07	-0.140986	0.676164
RP11-100C21	7	42421.889	1275191.295	-0.306925	0.659106
RP11-141P12	7	42828.216	1275597.622	-0.209326	0.64586
CTC-232O9	7	43021.835	1275791.241	-0.158538	0.593548
GS1-8A1	7	44253.351	1277022.757	-0.140227	0.770576
RP11-52M17	7	44369.382	1277138.788	-0.071977	0.736572
RP11-217O10	7	45498.324	1278267.73	-0.154378	0.607613
RP11-638I8	7	45673.47	1278442.876	0.201048	NA
RP11-126K7	7	45830.356	1278599.762	NA	0.664191
RP11-109N2	7	45896.44	1278665.846	-0.235362	0.780683
GS1-220D8	7	46025.495	1278794.901	-0.324869	0.771499
GS1-202O8	7	49774.806	1282544.212	-0.303116	0.357532
RP11-15L23	7	50724.731	1283494.137	-0.535952	0.875113
GS1-32L15	7	52046.413	1284815.819	-0.436948	0.658873
GS1-6E1	7	53464.849	1286234.255	-0.367403	0.657215
GS-246M20	7	54828.553	1287597.959	-0.74606	0.627572
RP11-339F13	7	54828.553	1287597.959	0.619778	0.605076
RP11-14K11	7	54870.929	1287640.335	-0.358509	0.74774
RP11-97P11	7	55205.844	1287975.25	-0.397474	0.646303
RP11-34J24	7	55241.629	1288011.035	-0.439842	0.765435
RP11-251I15	7	55349.161	1288118.567	NA	0.659475
RP11-90O18	7	63545.898	1296315.304	0.11201	0.470051
CTC-247K5	7	65114.613	1297884.019	0.256851	0.83403
GS1-208J7	7	66469.152	1299238.558	-0.114902	0.527588
RP11-41F23	7	67264.956	1300034.362	0.18711	0.595538
CTC-325E15	7	67607.961	1300377.367	0.058047	0.646846
RP11-114E12	7	67811.142	1300580.548	-0.136155	0.585751
RP11-170H15	7	68626.928	1301396.334	0.015253	0.563334
RP11-96O16	7	68989.12	1301758.526	0.035918	0.637566
GS1-35C5	7	69637.921	1302407.327	-0.200172	0.660264
RP11-193J17	7	71145.843	1303915.249	0.139738	0.594701
GS1-240H2	7	71274.619	1304044.025	-0.058983	0.701089
RP11-35P20	7	71432.273	1304201.679	0.062792	0.55117
CTB-51J22	7	72822.38	1305591.786	0.405265	1.107919
RP1-117G9	7	72854.614	1305624.02	0.204916	0.793012
RP11-137E8	7	73356.816	1306126.222	0.387872	0.804466
RP11-107L23	7	74745.559	1307514.965	-0.11568	0.764377
RP11-35H4	7	77250.049	1310019.455	0.043375	0.682681
GS1-17A10	7	77782.078	1310551.484	0.095635	0.617108
CTD-2067A9	7	79458.857	1312228.263	NA	0.632523
RP11-219N12	7	79458.86	1312228.266	0.199832	0.671123
RP11-115O3	7	80120.719	1312890.125	0.206408	0.653021
GS1-53N21	7	81610.628	1314380.034	0.002711	0.47016
RP11-126A20	7	82609.145	1315378.551	0.049852	0.390801
GS1-35M23	7	83581.127	1316350.533	-0.002486	0.526123
RP11-22M18	7	84155.765	1316925.171	0.056775	0.351365
GS1-207P11	7	85864.157	1318633.563	0.090559	0.604768
CTD-2015N4	7	86105.763	1318875.169	0.61014	0.454172
GS-93M10	7	86745.208	1319514.614	0.248241	0.612097
CTB-102E19	7	87477.088	1320246.494	-0.04305733	0.5353627
RP11-46O13	7	87989.666	1320759.072	0.142825	0.562575
CTB-141D22	7	90029.168	1322798.574	0.0839	NA
CTB-98M4	7	90268.894	1323038.3	0.332553	0.278362
CTD-2074H8	7	91856.331	1324625.737	0.250282	0.700711
CTB-79L9	7	92211.232	1324980.638	0.182539	0.560545
RP11-126B8	7	92418.214	1325187.62	0.273191	0.496186
RP11-49N15	7	92474.877	1325244.283	0.120477	0.507622
CTD-2007G21	7	93098.318	1325867.724	0.012793	0.622527
RP11-127F3	7	94734.655	1327504.061	0.269572	0.627656
RP11-32C15	7	95227.094	1327996.5	NA	0.569979
CTB-57J11	7	95552.733	1328322.139	-0.330771	0.342809
CTC-224F8	7	96636.434	1329405.84	0.091067	1.250184
RP11-10D8	7	98034.539	1330803.945	0.349932	0.609596
RP11-126L15	7	99966.886	1332736.292	-0.912644	-0.178817
GS1-87A9	7	99972.964	1332742.37	NA	0.593447
RP11-213E22	7	100265.276	1333034.682	0.825597	0.584521
CTC-305I2	7	101400.207	1334169.613	0.904266	0.869206
RP11-163E9	7	101565.207	1334334.613	-0.824202	0.680496
CTB-66D11	7	104127.137	1336896.543	NA	NA
RP11-72J24	7	104173.743	1336943.149	0.510512	0.957037
RP11-523G16	7	106089.825	1338859.231	-0.238588	0.656295
RP11-61C18	7	106305.375	1339074.781	0.54154	0.566151
RP11-46J20	7	106747.907	1339517.313	0.557383	0.728283
RP11-77E2	7	107078.746	1339848.152	0.373423	0.886264
RP11-86P18	7	107907.529	1340676.935	0.389384	0.725901
CTB-22K14	7	108068.701	1340838.107	0.137449	0.498481
CTC-277H20	7	111198.01	1343967.416	0.196202	0.705631
RP11-92J13	7	111200.198	1343969.604	NA	0.757062
RP11-78C11	7	114103.867	1346873.273	0.055321	1.584367
CTC-264L4	7	114411.693	1347181.099	0.039291	1.370775
RP11-51M22	7	115395.564	1348164.97	0.217538	1.440169
RP1-8L24	7	115449.177	1348218.583	0.129466	1.40047
RP1-268L15	7	115627.061	1348396.467	0.088024	1.172413
CTB-11K1	7	115689.361	1348458.767	NA	0.039054
CTD-2039F11	7	115990.211	1348759.617	0.233363	1.378298
CTB-185C18	7	116565.219	1349334.625	0.097191	1.502853
CTD-2041G23	7	116986.858	1349756.264	0.127268	1.453246
GS1-74E4	7	119321.735	1352091.141	-0.179505	1.242945
GS1-193F11	7	120591.39	1353360.796	0.110431	1.217291
RP11-112P4	7	121088.6	1353858.006	0.300108	0.641649
RP11-48O1	7	121395.251	1354164.657	0.153369	1.085589
CTC-361L6	7	123940.563	1356709.969	NA	1.185676
CTB-97E14	7	125500.167	1358269.573	0.079051	1.14906
RP11-9C22	7	127169.705	1359939.111	0.404612	1.484894
CTB-162H9	7	127287.007	1360056.413	0.269677	1.460331
RP11-66F23	7	127909.559	1360678.965	0.372409	1.592192
RP11-671O5	7	128165.527	1360934.933	-0.016827	-0.807481
RP11-35B6	7	128499.751	1361269.157	0.383765	-0.859275
GS1-259E18	7	128686.909	1361456.315	0.09073	1.000341
RP11-19G12	7	129046.924	1361816.33	0.445206	1.457848
RP11-38P11	7	129516.7	1362286.106	0.515598	1.505497
GS1-199H20	7	131259.783	1364029.189	0.328693	NA
RP11-118J20	7	132809.177	1365578.583	0.173307	-0.111266
GS1-9J21	7	133331.974	1366101.38	0.076263	-0.111257
RP11-140I14	7	134505.465	1367274.871	0.048141	0.006153
GS1-180P12	7	135995.725	1368765.131	-0.056774	-0.184804
RP11-88K4	7	136029.437	1368798.843	0.132532	-0.222607
RP11-22G20	7	136600.361	1369369.767	0.101463	-0.095803
RP11-148F17	7	136628.737	1369398.143	0.005901	-0.024019
RP11-29B3	7	136915.926	1369685.332	0.273882	NA
RP11-137O4	7	137509.374	1370278.78	0.126176	0.059696
CTB-162P22	7	137607.917	1370377.323	NA	NA
RP11-269N18	7	137683.357	1370452.763	0.390909	-0.071607
RP11-172L23	7	138471.905	1371241.311	0.19946	0.004123
GS1-119B11	7	139191.536	1371960.942	0.387867	-0.007626
CTD-2051H12	7	139841.565	1372610.971	0.28762	0.043432
CTC-574G24	7	141243.42	1374012.826	0.387301	-0.068096
RP11-188A12	7	142993.635	1375763.041	0.26794	-0.062703
RP11-464H1	7	143454.644	1376224.05	-0.279694	NA
RMC07P028	7	143474.406	1376243.812	0.227974	0.057968
GS1-53I5	7	144768.572	1377537.978	-0.066929	-0.204712
GS1-206P22	7	147449.681	1380219.087	0.284621	-0.069735
RP11-106C6	7	147632.573	1380401.979	0.434651	-0.001264
CTD-2027I18	7	150091.85	1382861.256	0.37629	0.115694
RP11-43L19	7	150928.429	1383697.835	0.381829	0.071603
GS1-203O3	7	151001.343	1383770.749	0.331245	0.049731
GS1-207L18	7	152990.435	1385759.841	0.148078	-0.202696
RP11-86L18	7	153599.468	1386368.874	0.114256	-0.179401
GS1-121J16	7	154921.976	1387691.382	0.164795	-0.04516
RP11-58F7	7	156989.617	1389759.023	NA	-0.130047
GS1-53F14	7	157964.196	1390733.602	0.700605	0.121063
GS1-77L23	8	0.001	1391314.924	-0.706981	-0.60173
RP11-117P11	8	2057.935	1393372.859	-0.536	-0.447763
RP11-82K8	8	2080.312	1393395.236	-0.699401	-0.653603
BAL08B2611	8	2117.695	1393432.619	-0.865168	-0.72868
RP11-113B7	8	4218.951	1395533.875	NA	-0.666659
RP11-140K14	8	4357.589	1395672.513	-0.527579	-0.519169
RP11-112O8	8	4725.396	1396040.32	-0.345884	0.093085
RP11-287P18	8	7156.825	1398471.749	-0.54898	-0.445312
RP11-122N11	8	7295.547	1398610.471	-0.657842	-0.564708
RP11-277K10	8	9673.615	1400988.539	NA	0.647778
RP11-262B15	8	9852.835	1401167.759	-0.395694	-0.350322
RP11-112G9	8	10038.624	1401353.548	-0.661411	-0.468835
RP11-241I4	8	10208.528	1401523.452	-0.550545	-0.405678
RP11-235O5	8	10593.769	1401908.693	-0.531096	-0.429675
RP11-252K12	8	10893.274	1402208.198	-0.548261	-0.538231
RP11-254E10	8	11164.155	1402479.079	-0.47552	-0.331911
RP11-148O21	8	11360.835	1402675.759	-0.660592	-0.378364
RP11-235I5	8	11538.838	1402853.762	-0.413664	-0.509394
RP11-218N24	8	11733.527	1403048.451	-0.388489	-0.286775
RP11-262B7	8	11739.236	1403054.16	-0.291771	-0.410609
RP11-31B7	8	12752.556	1404067.48	-0.355052	-0.520546
RP11-92C1	8	12846.224	1404161.148	-0.314195	-0.395893
RP11-182G2	8	15659.942	1406974.866	-0.301833	-0.408445
RP11-274K12	8	15975.755	1407290.679	-0.39104	-0.367845
RP11-107P5	8	17394.118	1408709.042	-0.404479	-0.438919
CTD-2105I3	8	17510.58	1408825.504	-0.424031	-0.422703
RP11-51C1	8	19263.568	1410578.492	-0.567635	-0.475041
RP11-191P9	8	19617.04	1410931.964	-0.495625	-0.51989
RP11-233H21	8	19702.27	1411017.194	-0.417216	-0.42055
RMC08P005	8	19807.05	1411121.974	-0.49805	-0.021376
RP11-93D21	8	20334.737	1411649.661	-0.440505	NA
RP11-89M8	8	22745.182	1414060.106	-0.385771	-0.452147
RP11-204M16	8	23223.411	1414538.335	-0.3273985	-0.327747
RP11-228N10	8	23558.646	1414873.57	-0.555098	-0.168177
RP11-158F9	8	24858.787	1416173.711	-0.360546	-0.454127
RP11-76B12	8	25211.626	1416526.55	-0.319437	-0.354065
RP11-70L1	8	25298.685	1416613.609	-0.391591	-0.366942
RP11-164H24	8	25315.751	1416630.675	NA	-0.516149
RP11-232J22	8	26282.402	1417597.326	-0.3036	-0.461493
RP11-199N14	8	26290.163	1417605.087	-0.200724	-0.372442
CTD-2015D3	8	26577.678	1417892.602	-0.497378	NA
RP11-138J2	8	27243.238	1418558.162	-0.231557	NA
RP11-116F9	8	28178.047	1419492.971	-0.313637	-0.474835
RP11-277I21	8	28963.149	1420278.073	-0.404878	-0.26363
RP11-115B10	8	29215.531	1420530.455	-0.025518	-0.268667
RP11-5J20	8	29319.227	1420634.151	-0.23059	-0.477182
RP11-287N19	8	30493.714	1421808.638	-0.264216	-0.441746
CTD-2020E14	8	31264.305	1422579.229	-0.348397	-0.474727
RP11-57I3	8	32470.067	1423784.991	-0.385326	NA
RP11-122D17	8	32636.7	1423951.624	-0.44667	-0.56214
RP11-258M15	8	33579.211	1424894.135	-0.32133	-0.564383
RP11-274F14	8	35530.398	1426845.322	-0.184353	-0.491673
RP11-210F15	8	36452.293	1427767.217	-0.400732	-0.657919
RP11-265K5	8	38125.492	1429440.416	-0.210818	-0.372968
RP11-350N15	8	38187.285	1429502.209	0.169697	-0.310666
RP11-100B16	8	38257.049	1429571.973	-0.358021	-0.390153
GS-566K20	8	38287.741	1429602.665	-0.0760115	-0.0898235
RP11-262I23	8	39744.917	1431059.841	-0.261533	-0.387246
RP11-133O7	8	39855.104	1431170.028	-0.143138	-0.167065
RP11-48D21	8	40481.373	1431796.297	-0.265486	-0.565695
RP11-284J3	8	40661.159	1431976.083	-0.197115	-0.616743
RMC08P049	8	41529.085	1432844.009	0.726246	-0.208498
RP11-282J24	8	41662.968	1432977.892	-0.443172	-0.246042
CTD-2265N15	8	42291.379	1433606.303	0.490432	-0.151303
RP11-73M19	8	43001.041	1434315.965	-0.478621	NA
RP11-12L15	8	47822.656	1439137.58	0.264449	0.391906
RP11-113H14	8	48923.494	1440238.418	1.316042	NA
RP11-268N2	8	49117.748	1440432.672	0.109568	0.0824455
RP11-149G12	8	52198.517	1443513.441	NA	0.666444
RP11-188C10	8	52638.29	1443953.214	-0.108652	-0.047149
RP11-83O14	8	53073.358	1444388.282	0.1451995	0.092494
RP11-175H20	8	53297.292	1444612.216	-0.148104	-0.018145
RP11-221P7	8	53605.081	1444920.005	-0.105665	0.018737
RP11-105K5	8	54464.06	1445778.984	0.0627305	-0.001066
RP11-99M6	8	55552.345	1446867.269	-0.052337	0.013096
RP11-172D2	8	55736.946	1447051.87	-0.050311	0.047943
RMC08P055	8	56842.332	1448157.256	1.246329	0.14752
RP11-213K11	8	56972.63	1448287.554	0.193743	0.013353
RP11-258B14	8	61151.491	1452466.415	-0.031116	0.038385
CTD-2169M23	8	61563.682	1452878.606	-0.014722	0.143753
RP11-282D10	8	67298.481	1458613.405	0.222782	0.075647
RP11-212P10	8	67392.425	1458707.349	0.143384	0.038826
RP11-271O1	8	67479.639	1458794.563	-0.34669	-0.139126
RP11-120N14	8	70363.574	1461678.498	-0.03642	-0.034741
RP11-531A24	8	73867.53	1465182.454	-0.340348	1.996453
RP11-117N14	8	74641.625	1465956.549	0.019586	1.269646
RP11-33D7	8	74943.739	1466258.663	0.061188	1.237741
RP11-225J6	8	75708.569	1467023.493	-0.11172	1.774386
RP11-65J24	8	76694.332	1468009.256	0.129326	1.989109
RP11-93J13	8	78059.988	1469374.912	-0.064675	1.8457
RP11-115D10	8	79893.911	1471208.835	0.073833	1.963675
RP11-195P3	8	80209.265	1471524.189	0.009111	2.234332
RP11-214E11	8	80997.72	1472312.644	0.488528	2.557685
RP11-93E11	8	81762.817	1473077.741	0.335145	1.971434
RP11-80C11	8	82164.219	1473479.143	0.270141	-0.489009
RP11-107C1	8	82336.348	1473651.272	0.305349	NA
RP11-257P3	8	82467.387	1473782.311	0.221524	-0.456524
RP11-118O8	8	92918.548	1484233.472	0.619788	-1.216575
RMC08P004	8	92927.734	1484242.658	-1.76233	-0.671014
RP11-3J21	8	93058.904	1484373.828	0.64125	-1.455333
RP11-347C18	8	95804.027	1487118.951	-0.420393	NA
RP11-238H10	8	98877.176	1490192.1	0.418354	-0.137892
RP11-131O16	8	99004.698	1490319.622	0.462701	-0.061164
RP11-131D12	8	99202.013	1490516.937	NA	-0.178904
RP11-125O21	8	99283.54	1490598.464	0.456155	-0.14774
RP11-136H10	8	100171.412	1491486.336	0.428867	-0.007132
RP11-142F22	8	100511.499	1491826.423	0.405779	-0.27369
RP11-208E21	8	100605.094	1491920.018	0.486475	-0.146808
RP11-10G10	8	101112.121	1492427.045	0.721257	-0.072886
RP11-102K7	8	101125.861	1492440.785	0.618178	-0.155969
CTD-2013D21	8	110377.286	1501692.21	0.495965	0.164287
CTD-2005M12	8	118644.713	1509959.637	0.225265	NA
RP11-24C23	8	118768.265	1510083.189	NA	NA
CTD-2178F17	8	118768.265	1510083.189	0.184106	2.533364
RP11-99I9	8	120373.043	1511687.967	NA	NA
RP11-44N11	8	123706.036	1515020.96	0.977739	2.988301
RP11-158K1	8	125384.69	1516699.614	0.876083	2.505964
RP11-110D15	8	125502.83	1516817.754	NA	2.453329
RP11-229L23	8	125521.487	1516836.411	0.991782	2.590089
RP11-150N13	8	126332.617	1517647.541	0.877381	1.558643
RP11-495D4	8	126486.588	1517801.512	1.137061	0.903326
RP11-142P5	8	126542.594	1517857.518	0.750564	0.598625
RP11-65D17	8	127185.835	1518500.759	0.781357	-0.287153
RP11-128G18	8	127638.661	1518953.585	0.437255	-0.286078
RP11-145G10	8	128499.736	1519814.66	0.816545	3.060723
DMPC-HFF#1-71E5	8	128704.918	1520019.842	0.844858	2.973108
RMC08P001	8	128704.918	1520019.842	7.2E-05	2.375476
RP11-237F24	8	128709.793	1520024.717	1.056554	2.755989
RP11-227F7	8	131013.283	1522328.207	0.408466	0.043136
RP11-94M13	8	132829.371	1524144.295	0.097247	-1.6006815
RP11-158G1	8	133112.44	1524427.364	0.255632	-1.548017
RP11-128P9	8	133448.745	1524763.669	0.426862	-0.578027
RP11-184M21	8	133963.498	1525278.422	0.351941	-0.148815
RP11-88M23	8	134424.571	1525739.495	0.249517	-0.195377
RP11-189E11	8	135162.757	1526477.681	0.202568	-0.157205
RP11-45B19	8	135479.231	1526794.155	0.399575	-0.390117
RP11-21H16	8	135877.595	1527192.519	NA	-0.161343
RP11-28A4	8	136664.622	1527979.546	0.022787	-0.097158
RP11-17M8	8	137675.35	1528990.274	0.195502	-0.822029
RP11-642A1	8	141504.525	1532819.449	0.423552	-0.765263
RP11-13A18	8	141507.802	1532822.726	NA	NA
GS1-261I1	8	146308.819	1537523.743	0.298676	0.084933
CTB-41L13	9	222.268	1537846.011	0.139527	-0.524119
RP11-122A20	9	2643.868	1540267.611	-0.229694	-0.31191
RP11-280I16	9	4407.742	1542031.485	-0.144822	-0.205565
RP11-62H18	9	4575.558	1542199.301	-0.098619	-0.28447
RP11-125K10	9	4819.655	1542443.398	-0.069137	-0.072026
RP11-39K24	9	4975.244	1542598.987	0.034109	NA
CTD-2006L14	9	5892.905	1543516.648	-0.13998	-0.264406
RP11-165O14	9	5963.983	1543587.726	-0.123007	-0.185072
RP11-50C21	9	10431.717	1548055.46	-0.264076	-0.1572
RP11-264O11	9	10578.155	1548201.898	-0.220841	-0.396202
RP11-32D4	9	11586.151	1549209.894	-0.201367	-0.320292
RP11-58B8	9	11639.686	1549263.429	-0.258652	-0.240132
RP11-26K11	9	11789.514	1549413.257	-0.099339	-0.318563
RP11-117J18	9	12628.463	1550252.206	NA	-0.18072
RP11-115I23	9	13017.705	1550641.448	-0.21487	-0.280086
RP11-120J1	9	14333.116	1551956.859	0.029956	-0.246154
RP11-132G20	9	15858.419	1553482.162	-0.180623	-0.316794
RP11-109M15	9	16141.128	1553764.871	-0.313415	-0.293733
RP11-163F8	9	17487.085	1555110.828	-0.329004	-0.335061
RP11-61D22	9	19584.555	1557208.298	-0.142072	-0.336172
RMC09P006	9	20334.967	1557958.71	0.028805	-0.067852
RMC09P007	9	21957.751	1559581.494	0.181049	0.114378
CTB-65D18	9	21958.222	1559581.965	-0.650212	-0.233792
RP11-33O15	9	22823.086	1560446.829	-0.211041	-0.340632
RP11-85J5	9	24524.208	1562147.951	-0.300638	-0.455609
RP11-55P9	9	25425.786	1563049.529	-0.110873	-0.270729
RP11-57P14	9	27099.44	1564723.183	0.264192	NA
CTD-2170E19	9	27289.525	1564913.268	-0.095732	-0.341707
RP11-235F7	9	27536.544	1565160.287	-0.328858	-0.335978
RP11-18A21	9	30768.614	1568392.357	-0.282857	-0.356303
RP11-70F16	9	31034.743	1568658.486	-0.2252	-0.323238
RP11-52I10	9	31664.296	1569288.039	-0.116938	-0.254346
RP11-141J7	9	32325.652	1569949.395	-0.041631	-0.348155
RP11-118C13	9	32970.169	1570593.912	-0.185964	-0.29359
RP11-115L5	9	33163.287	1570787.03	-0.19429	-0.252983
RP11-17J8	9	34511.04	1572134.783	-0.174238	-0.169039
RP11-165H19	9	34589.62	1572213.363	-0.107403	-0.253354
RP11-37F22	9	34971.399	1572595.142	-0.026785	-0.187214
RP11-61G7	9	35799.61	1573423.353	-0.090941	-0.208042
RP11-39I6	9	36174.983	1573798.726	0.042732	-0.047126
RP11-154M9	9	36204.443	1573828.186	-0.073237	-0.10149
RP11-61I3	9	37607.772	1575231.515	0.012801	-0.265868
RP11-144L7	9	38085.104	1575708.847	-0.250209	-0.226238
CTD-2029L20	9	67144.882	1604768.625	0.009178	0.018972
RP11-16N10	9	67236.317	1604860.06	-0.20686	-0.054381
RP11-44J18	9	68066.126	1605689.869	-0.16256	-0.062041
RP11-54O21	9	71118.562	1608742.305	0.012753	-0.085159
RP11-14J9	9	73221.554	1610845.297	-0.179776	-0.106989
RP11-57N18	9	73439.443	1611063.186	-0.293176	NA
RP11-96B7	9	74535.035	1612158.778	NA	-0.114144
RP11-136M18	9	75399.876	1613023.619	NA	0.038036
RP11-56C1	9	75456.89	1613080.633	-0.140397	-0.164562
RP11-31D18	9	77810.574	1615434.317	NA	-0.297902
RP11-8D10	9	80348.012	1617971.755	-0.292399	-0.084395
RP11-23D11	9	80406.175	1618029.918	-0.213464	-0.089008
RP11-22C13	9	80766.708	1618390.451	-0.12875	-0.268519
RP11-142P12	9	81525.192	1619148.935	-0.255275	-0.143907
RP11-74F15	9	81642.796	1619266.539	-0.200183	-0.064496
RP11-20B20	9	83093.471	1620717.214	-0.15134	-0.111308
RP11-65C15	9	84017.862	1621641.605	-0.115977	-0.087987
RP11-41K9	9	85078.572	1622702.315	-0.274796	0.048184
RP11-65B23	9	85711.859	1623335.602	-0.313606	-0.024476
RP11-88J16	9	86474.888	1624098.631	-0.225639	-0.076051
RP11-82L18	9	87117.541	1624741.284	-0.017214	-0.152283
RP11-8C21	9	87222.371	1624846.114	-0.509765	-0.029942
RP11-105E2	9	87242.13	1624865.873	-0.490911	-0.166555
RP11-260L6	9	87606.73	1625230.473	-0.237188	-0.0187
RP11-31N23	9	87905.832	1625529.575	-0.150861	-0.099752
RP11-9I18	9	88624.085	1626247.828	-0.081115	-0.027555
